country,continent,regionUN,subregionUN
Afghanistan,Asia,Asia,Southern Asia
Albania,Europe,Europe,Southern Europe
Algeria,Africa,Africa,Northern Africa
Andorra,Europe,Europe,Southern Europe
Angola,Africa,Africa,Middle Africa
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean
Argentina,Americas,Latin America and the Caribbean,South America
Armenia,Asia,Asia,Western Asia
Australia,Oceania,Oceania,Australia and New Zealand
Austria,Europe,Europe,Western Europe
Azerbaijan,Asia,Asia,Western Asia
Bahamas,Americas,Latin America and the Caribbean,Caribbean
Bahrain,Asia,Asia,Western Asia
Bangladesh,Asia,Asia,Southern Asia
Barbados,Americas,Latin America and the Caribbean,Caribbean
Belarus,Europe,Europe,Eastern Europe
Belgium,Europe,Europe,Western Europe
Belize,Americas,Latin America and the Caribbean,Central America
Benin,Africa,Africa,Western Africa
Bhutan,Asia,Asia,Southern Asia
Bolivia,Americas,Latin America and the Caribbean,South America
Bosnia and Herzegovina,Europe,Europe,Southern Europe
Botswana,Africa,Africa,Southern Africa
Brazil,Americas,Latin America and the Caribbean,South America
Brunei Darussalam,Asia,Asia,South-Eastern Asia
Bulgaria,Europe,Europe,Eastern Europe
Burkina Faso,Africa,Africa,Western Africa
Burundi,Africa,Africa,Eastern Africa
Cambodia,Asia,Asia,South-Eastern Asia
Cameroon,Africa,Africa,Middle Africa
Canada,Americas,Northern America,Northern America
Cape Verde,Africa,Africa,Western Africa
Central African Republic,Africa,Africa,Middle Africa
Chad,Africa,Africa,Middle Africa
Chile,Americas,Latin America and the Caribbean,South America
China,Asia,Asia,Eastern Asia
Colombia,Americas,Latin America and the Caribbean,South America
Comoros,Africa,Africa,Eastern Africa
Congo (Republic of the),Africa,Africa,Middle Africa
Costa Rica,Americas,Latin America and the Caribbean,Central America
Cote d'Ivoire,Africa,Africa,Western Africa
Croatia,Europe,Europe,Southern Europe
Cuba,Americas,Latin America and the Caribbean,Caribbean
Cyprus,Asia,Asia,Western Asia
Czech Republic,Europe,Europe,Eastern Europe
Democratic People's Republic of Korea,Asia,Asia,Eastern Asia
Democratic Republic of the Congo,Africa,Africa,Middle Africa
Denmark,Europe,Europe,Northern Europe
Djibouti,Africa,Africa,Eastern Africa
Dominica,Americas,Latin America and the Caribbean,Caribbean
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean
Ecuador,Americas,Latin America and the Caribbean,South America
Egypt,Africa,Africa,Northern Africa
El Salvador,Americas,Latin America and the Caribbean,Central America
Equatorial Guinea,Africa,Africa,Middle Africa
Eritrea,Africa,Africa,Eastern Africa
Estonia,Europe,Europe,Northern Europe
Ethiopia,Africa,Africa,Eastern Africa
Fiji,Oceania,Oceania,Melanesia
Finland,Europe,Europe,Northern Europe
France,Europe,Europe,Western Europe
Gabon,Africa,Africa,Middle Africa
Gambia,Africa,Africa,Western Africa
Georgia,Asia,Asia,Western Asia
Germany,Europe,Europe,Western Europe
Ghana,Africa,Africa,Western Africa
Greece,Europe,Europe,Southern Europe
Grenada,Americas,Latin America and the Caribbean,Caribbean
Guatemala,Americas,Latin America and the Caribbean,Central America
Guinea,Africa,Africa,Western Africa
Guinea-Bissau,Africa,Africa,Western Africa
Guyana,Americas,Latin America and the Caribbean,South America
Haiti,Americas,Latin America and the Caribbean,Caribbean
Honduras,Americas,Latin America and the Caribbean,Central America
Hungary,Europe,Europe,Eastern Europe
Iceland,Europe,Europe,Northern Europe
India,Asia,Asia,Southern Asia
Indonesia,Asia,Asia,South-Eastern Asia
Iran,Asia,Asia,Southern Asia
Iraq,Asia,Asia,Western Asia
Ireland,Europe,Europe,Northern Europe
Israel,Asia,Asia,Western Asia
Italy,Europe,Europe,Southern Europe
Jamaica,Americas,Latin America and the Caribbean,Caribbean
Japan,Asia,Asia,Eastern Asia
Jordan,Asia,Asia,Western Asia
Kazakhstan,Asia,Asia,Central Asia
Kenya,Africa,Africa,Eastern Africa
Kiribati,Oceania,Oceania,Micronesia
Kuwait,Asia,Asia,Western Asia
Kyrgyzstan,Asia,Asia,Central Asia
Lao People's Democratic Republic,Asia,Asia,South-Eastern Asia
Latvia,Europe,Europe,Northern Europe
Lebanon,Asia,Asia,Western Asia
Lesotho,Africa,Africa,Southern Africa
Liberia,Africa,Africa,Western Africa
Libya,Africa,Africa,Northern Africa
Liechtenstein,Europe,Europe,Western Europe
Lithuania,Europe,Europe,Northern Europe
Luxembourg,Europe,Europe,Western Europe
Madagascar,Africa,Africa,Eastern Africa
Malawi,Africa,Africa,Eastern Africa
Malaysia,Asia,Asia,South-Eastern Asia
Maldives,Asia,Asia,Southern Asia
Mali,Africa,Africa,Western Africa
Malta,Europe,Europe,Southern Europe
Marshall Islands,Oceania,Oceania,Micronesia
Mauritania,Africa,Africa,Western Africa
Mauritius,Africa,Africa,Eastern Africa
Mexico,Americas,Latin America and the Caribbean,Central America
Micronesia (Federated States of),Oceania,Oceania,Micronesia
Monaco,Europe,Europe,Western Europe
Mongolia,Asia,Asia,Eastern Asia
Montenegro,Europe,Europe,Southern Europe
Morocco,Africa,Africa,Northern Africa
Mozambique,Africa,Africa,Eastern Africa
Myanmar,Asia,Asia,South-Eastern Asia
Namibia,Africa,Africa,Southern Africa
Nauru,Oceania,Oceania,Micronesia
Nepal,Asia,Asia,Southern Asia
Netherlands,Europe,Europe,Western Europe
New Zealand,Oceania,Oceania,Australia and New Zealand
Nicaragua,Americas,Latin America and the Caribbean,Central America
Niger,Africa,Africa,Western Africa
Nigeria,Africa,Africa,Western Africa
Norway,Europe,Europe,Northern Europe
Oman,Asia,Asia,Western Asia
Pakistan,Asia,Asia,Southern Asia
Palau,Oceania,Oceania,Micronesia
Panama,Americas,Latin America and the Caribbean,Central America
Papua New Guinea,Oceania,Oceania,Melanesia
Paraguay,Americas,Latin America and the Caribbean,South America
Peru,Americas,Latin America and the Caribbean,South America
Philippines,Asia,Asia,South-Eastern Asia
Poland,Europe,Europe,Eastern Europe
Portugal,Europe,Europe,Southern Europe
Qatar,Asia,Asia,Western Asia
Republic of Korea,Asia,Asia,Eastern Asia
Republic of Moldova,Europe,Europe,Eastern Europe
Romania,Europe,Europe,Eastern Europe
Russian Federation,Europe,Europe,Eastern Europe
Rwanda,Africa,Africa,Eastern Africa
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean
Saint Lucia,Americas,Latin America and the Caribbean,Caribbean
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean
Samoa,Oceania,Oceania,Polynesia
San Marino,Europe,Europe,Southern Europe
Sao Tome and Principe,Africa,Africa,Middle Africa
Saudi Arabia,Asia,Asia,Western Asia
Senegal,Africa,Africa,Western Africa
Serbia,Europe,Europe,Southern Europe
Seychelles,Africa,Africa,Eastern Africa
Sierra Leone,Africa,Africa,Western Africa
Singapore,Asia,Asia,South-Eastern Asia
Slovakia,Europe,Europe,Eastern Europe
Slovenia,Europe,Europe,Southern Europe
Solomon Islands,Oceania,Oceania,Melanesia
Somalia,Africa,Africa,Eastern Africa
South Africa,Africa,Africa,Southern Africa
South Sudan,Africa,Africa,Eastern Africa
Spain,Europe,Europe,Southern Europe
Sri Lanka,Asia,Asia,Southern Asia
Sudan,Africa,Africa,Northern Africa
Suriname,Americas,Latin America and the Caribbean,South America
Swaziland,Africa,Africa,Southern Africa
Sweden,Europe,Europe,Northern Europe
Switzerland,Europe,Europe,Western Europe
Syria,Asia,Asia,Western Asia
Tajikistan,Asia,Asia,Central Asia
Thailand,Asia,Asia,South-Eastern Asia
The former Yugoslav Republic of Macedonia,Europe,Europe,Southern Europe
Timor-Leste,Asia,Asia,South-Eastern Asia
Togo,Africa,Africa,Western Africa
Tonga,Oceania,Oceania,Polynesia
Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean
Tunisia,Africa,Africa,Northern Africa
Turkey,Asia,Asia,Western Asia
Turkmenistan,Asia,Asia,Central Asia
Tuvalu,Oceania,Oceania,Polynesia
Uganda,Africa,Africa,Eastern Africa
Ukraine,Europe,Europe,Eastern Europe
United Arab Emirates,Asia,Asia,Western Asia
United Kingdom,Europe,Europe,Northern Europe
United Republic of Tanzania,Africa,Africa,Eastern Africa
United States of America,Americas,Northern America,Northern America
Uruguay,Americas,Latin America and the Caribbean,South America
Uzbekistan,Asia,Asia,Central Asia
Vanuatu,Oceania,Oceania,Melanesia
Venezuela,Americas,Latin America and the Caribbean,South America
Viet Nam,Asia,Asia,South-Eastern Asia
Yemen,Asia,Asia,Western Asia
Zambia,Africa,Africa,Eastern Africa
Zimbabwe,Africa,Africa,Eastern Africa
